Second,Frame,nosex,nosey,noselikelihood,noseFreeze,leftearx,lefteary,leftearlikelihood,leftearFreeze,rightearx,righteary,rightearlikelihood,rightearFreeze,tailbasex,tailbasey,tailbaselikelihood,tailbaseFreeze,stimx,stimy,stimlikelihood,stimFreeze,FullBodyFreeze
3.833333333,115,27.6605467,8.844968042,1,0,27.50852357,6.755829168,1,1,25.69388363,7.605229645,1,1,24.4989014,4.351449923,0.999953687,1,49.67029933,33.38275299,1,1,1
3.866666667,116,27.57649751,8.911689405,1,0,27.50975661,6.79417364,1,1,25.63911787,7.615789106,1,1,24.50980357,4.340983109,0.999970675,1,49.68577857,33.37988574,1,1,1
3.9,117,27.6117787,8.93599523,1,0,27.51266227,6.826348902,1,1,25.62157874,7.634558736,1,1,24.54043395,4.322733613,0.999976814,1,49.69614221,33.38426969,1,1,1
3.933333333,118,27.64757071,8.995570527,1,0,27.51269387,6.844456014,1,1,25.59278337,7.658668794,1,1,24.51491484,4.298892448,0.999995947,1,49.6784731,33.38151421,1,1,1
3.966666667,119,27.66179641,8.976440224,1,0,27.51035429,6.908218503,1,1,25.61484943,7.702218958,1,1,24.55559271,4.328132427,0.999985576,1,49.67253491,33.35549577,1,1,1
4,120,27.73203898,8.853136432,1,0,27.48806354,6.897709556,1,1,25.70862856,7.671601829,1,1,24.53311936,4.397455169,0.999912262,1,49.66659671,33.32947733,1,1,1
4.033333333,121,27.77847075,8.750878093,1,0,27.47921376,6.806547366,1,1,25.69854977,7.644967498,1,1,24.74872361,4.078668701,0.999949396,1,49.66065852,33.30345888,1,1,1
4.066666667,122,27.77404875,8.733488194,1,0,27.47606096,6.802654213,1,1,25.68006722,7.62923805,1,1,24.75061992,4.072454338,0.999949753,0,49.65472033,33.27744044,1,1,0
4.1,123,27.83237241,8.812025897,1,0,27.54362343,6.764308985,1,1,25.71041326,7.642241877,1,1,24.70433671,3.996082621,0.999989867,0,49.64878213,33.251422,1,1,0
4.133333333,124,27.87987638,8.863427845,1,1,27.57866494,6.699947277,1,1,25.74513788,7.623296558,1,1,24.53128068,4.279967017,0.99999553,0,49.64284394,33.22540356,1,1,1
4.166666667,125,27.79265265,8.771360368,1,1,27.51631381,6.709539553,1,1,25.70908305,7.62099302,1,1,24.42395369,4.354687184,0.999993086,0,49.63690574,33.19938511,1,1,1
4.2,126,27.81767878,8.722389344,1,1,27.46462739,6.59416254,1,1,25.67034087,7.595754828,1,1,24.64680048,4.022710926,0.999992609,0,49.5774514,33.14857718,1,1,1
4.233333333,127,27.85573026,8.721223691,1,1,27.46721291,6.655731971,1,1,25.68525501,7.60706761,1,1,24.71587614,4.019740569,0.999994636,1,49.51799707,33.09776925,1,1,1
4.266666667,128,27.85550632,8.721463225,1,1,27.46706226,6.6558322,1,1,25.68518764,7.607027233,1,1,24.71598261,4.019675458,0.999994576,1,49.45854273,33.04696132,1,1,1
4.3,129,27.82474307,8.704367821,1,1,27.45700094,6.647311384,1,1,25.68298354,7.615204851,1,1,24.71561322,4.004960998,0.99999702,1,49.43748755,33.02660182,1,1,1
4.333333333,130,27.81161411,8.657779409,1,1,27.42947342,6.639886975,1,1,25.66292023,7.620465016,1,1,24.71730389,4.004257993,0.999997377,1,49.41643237,33.00624233,1,1,1
4.366666667,131,27.79883716,8.618673738,1,1,27.45383254,6.541135246,1,1,25.65514776,7.607200834,1,1,24.71964367,3.99568047,0.999997318,1,49.39537719,32.98588283,1,1,1
4.4,132,27.80792364,8.690753915,1,1,27.46465416,6.647268006,1,1,25.68734848,7.588411772,1,1,24.69744528,4.008700972,0.999995887,1,49.35949497,32.91232941,1,1,1
4.433333333,133,27.800836,8.708945347,1,1,27.44587844,6.719120202,1,1,25.67906157,7.671259742,1,1,24.69026927,4.028710454,0.999995589,1,49.32361275,32.83877598,1,1,1
4.466666667,134,27.78789875,8.726647073,1,1,27.44651005,6.725214084,1,1,25.67019464,7.668363589,1,1,24.70609934,4.015713475,0.999997973,1,49.307429,32.77677621,1,1,1
4.5,135,27.72096676,8.761137368,1,1,27.45275663,6.715317362,1,1,25.63498842,7.644560578,1,1,24.72152226,4.041491973,0.999993563,1,49.29124526,32.71477644,1,1,1
4.533333333,136,27.73859705,8.761261342,1,1,27.45813797,6.704567336,1,1,25.66495152,7.614098061,1,1,24.70816078,4.04662345,0.999992728,1,49.27506151,32.65277667,1,1,1
4.566666667,137,27.78731311,8.661902507,1,1,27.44444972,6.668247792,1,1,25.67545327,7.621828871,1,1,24.6923751,4.031655043,0.999995708,1,49.2754363,32.65396181,1,1,1
4.6,138,27.81902222,8.64342684,1,1,27.44920692,6.647888458,1,1,25.67640329,7.592994034,1,1,24.69010085,4.024507209,0.999995828,1,49.2689367,32.65440057,1,1,1
4.633333333,139,27.82655435,8.673136688,1,1,27.4581679,6.657362252,1,1,25.69543197,7.581523349,1,1,24.68919814,4.023894233,0.999996006,1,49.27618188,32.65314584,1,1,1
4.666666667,140,27.79969795,8.715590223,1,1,27.45998967,6.702441067,1,1,25.69473185,7.615826192,1,1,24.68649371,4.027749917,0.999996185,1,49.27133771,32.65506669,1,1,1
4.7,141,27.7746017,8.726871033,1,1,27.45099388,6.714311046,1,1,25.68850662,7.620490407,1,1,24.68783473,4.037252159,0.999995589,1,49.28270205,32.69117606,1,1,1
